Food Name,Energy,Carbs,Fat,Protein
Idli (1 piece),58,12,0.4,1.6
Yong Tau Foo(1 piece),67,2.8,4.1,4.8
Chapati(1 piece),120,18,3.7,3.1
Upma(1 cup) ,132,21,4,3.4
Dim Sum(1 piece),134,19,3.7,5.2
Poori( 1 piece),141,12,9.8,2.3
Chee Cheong Fun(1 roll),158,28,3.9,2
Thosai (1 piece),168,29,3.7,3.9
Porridge(1 cup),214,30,5.8,11
Putu Mayam(1 piece),281,54,6.2,3
Mee Goreng(1 packet),298,40,9.6,13
Char Kuey Teow(1 serving),365,36,15,22
Roti Canai(1 piece),392,59,13,8.8
Bah Kut Teh (1 bowl) ,457,21,32,25
Lontong(1 serving),531,70,25,8.7
Nasi Lemak (1 packet),587,54,33,21
Laksa(1 bowl),613,64,31,23
